Symbol,Name
DC.L,Dixons Carphone plc
DOM.L,Domino's Pizza Group plc
DRX.L,Drax Group plc
DNLM.L,Dunelm Group Plc
EZJ.L,easyJet plc
EDIN.L,Edinburgh Investment Trust plc
ECM.L,Electrocomponents plc
ELM.L,Elementis plc
ENOG.L,Energean Oil & Gas
EQN.L,Equiniti Group plc
ESNT.L,Essentra Plc
ERM.L,Euromoney Institutional Investors plc
JEO.L,European Opportunities Trust plc
EVR.L,Evraz plc
EXPN.L,Experian Plc
FCIT.L,F&C Investment Trust plc
FDM.L,FDM Group plc
FERG.L,Ferguson plc
FXPO.L,Ferrexpo plc
FCSS.L,Fidelity China Special Situations PLC
FEV.L,Fidelity European Values plc
FSV.L,Fidelity Special Values
FIN.L,Finablr plc
FGT.L,Finsbury Growth & Income Trust plc
FGP.L,FirstGroup plc
FLTR.L,Flutter Entertainment
FSFL.L,Foresight Solar Fund Ltd
FRAS.L,Frasers Group plc
FRES.L,Fresnillo
FUTR.L,Future plc
GFS.L,G4S Plc
GFRD.L,Galliford Try Holdings Plc
GAW.L,Games Workshop Group
GCP.L,GCP Infrastructure Investments Ltd
DIGS.L,GCP Student Living plc
GSS.L,Genesis Emerging Markets Fund Ltd
GNS.L,Genus plc
GSK.L,GlaxoSmithKline plc
GLEN.L,Glencore plc
GOG.L,Go Ahead Group
GFTU.L,Grafton Group
GRI.L,Grainger Plc
GPOR.L,Great Portland Estates
UKW.L,Greencoat UK Wind plc
GNC.L,Greencore Group plc
GRG.L,Greggs Plc
GVC.L,GVC Holdings plc
HLMA.L,Halma plc
HMSO.L,Hammerson
HVPE.L,Harbourvest Global Private Equity
HL.L,Hargreaves Lansdown plc
HSTG.L,Hastings Group Holdings plc
HAS.L,Hays plc
HTWS.L,Helios Towers plc
HSL.L,Henderson Smaller Cos Investment Trust plc
HRI.L,Herald Investment Trust
HGT.L,HG Capital Trust plc
HICL.L,HICL Infrastructure plc
HIK.L,Hikma Pharmaceuticals
HILS.L,Hill & Smith Holdings plc.
HFG.L,Hilton Food Group Plc
HSX.L,Hiscox Ltd
HOC.L,Hochschild Mining Plc
HSV.L,Homeserve plc
HWDN.L,Howden Joinery Group Plc
HSBA.L,HSBC Holdings plc
HTG.L,Hunting plc
HYVE.L,Hyve Group plc
IBST.L,Ibstock plc
ICGT.L,ICG Enterprise Trust plc
IGG.L,IG Group Holdings Plc
IMI.L,IMI plc
IMB.L,Imperial Brands Group
INCH.L,Inchcape plc
INF.L,Informa plc
IHP.L,Integrafin Holdings Plc
IHG.L,InterContinental Hotels Group plc
ICP.L,Intermediate Capital Group plc
IAG.L,International Consolidated Airlines Group SA
INPP.L,International Public Partnerships Limited
ITRK.L,Intertek Group plc
INVP.L,Investec Plc
IPO.L,IP Group Plc
ITV.L,ITV plc
IWG.L,IWG plc
JDW.L,J D Wetherspoon plc
FSJ.L,James Fisher & Sons plc
JD.L,JD Sports Fashion plc
JLG.L,John Laing Group plc
JMAT.L,Johnson Matthey Plc
JAM.L,JPMorgan American Investment Trust plc
JMG.L,JPMorgan Emerging Markets IT plc
JII.L,JPMorgan Indian Investment Trust
JFJ.L,JPMorgan Japanese Investment Trust
JUP.L,Jupiter Fund Management PLC
JET.L,Just Eat Takeaway.com NV
JUST.L,Just Group plc
KNOS.L,Kainos Group plc
KAZ.L,KAZ Minerals plc
KGF.L,Kingfisher
LRE.L,Lancashire Holdings
LAND.L,Land Securities Group plc
LWDB.L,Law Debenture Corporation
LGEN.L,Legal & General Group plc
LLOY.L,Lloyds Banking Group plc
LSE.L,London Stock Exchange Group plc
LMP.L,LondonMetric Property plc
LXI.L,LXI REIT plc
MNG.L,M&G plc
EMG.L,Man Group plc
MKS.L,Marks & Spencer Group plc
MSLH.L,Marshalls Plc
MARS.L,Marstons plc
MCS.L,McCarthy & Stone plc
MDC.L,Mediclinic International plc
MGGT.L,Meggitt
MRO.L,Melrose Industries plc
MRC.L,Mercantile Investment Trust Plc
MCRO.L,Micro Focus International plc
MAB.L,Mitchells & Butlers Plc
MNDI.L,Mondi Plc
MONY.L,Moneysupermarket.Com
MNKS.L,Monks Investment Trust
MGAM.L,Morgan Advanced Materials plc
MGNS.L,Morgan Sindall Group Plc
MRW.L,Morrison (Wm) Supermarkets
MYI.L,Murray International Trust plc
NEX.L,National Express
NG.L,National Grid
NETW.L,Network International Holdings
NRR.L,NewRiver REIT plc
NXT.L,Next plc
NESF.L,NextEnergy Solar Fund Ltd
N91.L,Ninety One plc
NMC.L,NMC Health Plc
OCDO.L,Ocado Group plc
OSB.L,OneSavings Bank plc
OXIG.L,Oxford Instruments plc
PAGE.L,PageGroup plc
PIN.L,Pantheon International
PAG.L,Paragon Banking Group plc
PAY.L,Paypoint Plc
PSON.L,Pearson plc
PNN.L,Pennon Group
PLI.L,Perpetual Income & Growth Inv Tst
PSH.L,Pershing Square Holdings Ltd
PSN.L,Persimmon plc
PNL.L,Personal Assets Trust plc
PFC.L,Petrofac
PETS.L,Pets At Home Group PLC
PHNX.L,Phoenix Group Holdings Plc
PTEC.L,Playtech plc
PLUS.L,Plus500 Ltd
PCT.L,Polar Capital Technology Trust plc
PSSL.L,Pollen Street Secured lending Plc
POLY.L,Polymetal International plc
PLP.L,Polypipe Group plc
PPH.L,PPHE Hotel Group Ltd
PMO.L,Premier Oil Plc
PHP.L,Primary Health Properties plc
PFG.L,Provident Financial plc
PRU.L,Prudential plc
PRTC.L,Puretech Health plc
PZC.L,PZ Cussons Plc
QQ.L,QinetiQ Group plc
QLT.L,Quilter Plc
RNK.L,Rank Group
RAT.L,Rathbone Brothers plc
RB.L,Reckitt Benckiser Group Plc
RDW.L,Redrow plc
REL.L,RELX plc
RSW.L,Renishaw plc
RTO.L,Rentokil Initial Plc
RTN.L,Restaurant Group
RHIM.L,RHI Magnesita N.V.
RMV.L,Rightmove plc
RIO.L,Rio Tinto plc
RCP.L,RIT Capital Partners plc
RR.L,Rolls Royce Holdings Plc
ROR.L,Rotork plc
RBS.L,Royal Bank of Scotland Group plc
RDSA.L,Royal Dutch Shell Plc A Shares
RDSB.L,Royal Dutch Shell Plc B Shares
RMG.L,Royal Mail PLC
RSA.L,RSA Insurance Group
SBRE.L,Sabre Insurance Group Plc
SAFE.L,Safestore Holdings
SGE.L,Sage Group plc
SBRY.L,Sainsbury (J) plc
SNN.L,Sanne Group plc
SVS.L,Savills plc
SDP.L,Schroder Asia Pacific Fund
SOI.L,Schroder Oriental Income Fund
SDR.L,Schroders plc
SCIN.L,Scottish Investment Trust plc
SMT.L,Scottish Mortgage Investment Trust
SGRO.L,Segro Plc
SNR.L,Senior plc
SEQI.L,Sequoia Economic Infrastructure Income Fund Ltd
SRP.L,Serco Group plc
SVT.L,Severn Trent Plc
SHB.L,Shaftesbury
SHI.L,Sig plc
SIG.L,Signature Aviation plc
SRE.L,Sirius Real Estate Limited
SN.L,Smith & Nephew plc
SMDS.L,Smith (DS)
SMIN.L,Smiths Group Plc
SSON.L,Smithson Investment Trust Plc
SKG.L,Smurfit Kappa Group Plc
SCT.L,Softcat plc
SXS.L,Spectris plc
SPX.L,Spirax-Sarco Engineering plc
SPT.L,Spirent Communications plc
SSE.L,SSE plc
SSPG.L,SSP Group plc
STJ.L,St James's Place Plc
SMP.L,St Modwen Properties plc
SGC.L,Stagecoach Group plc
STAN.L,Standard Chartered plc
SLA.L,Standard Life Aberdeen Plc
SYNC.L,Syncona Limited
SYNT.L,Synthomer plc
TALK.L,Talktalk Telecom Group Plc
TATE.L,Tate & Lyle plc
TW.L,Taylor Wimpey plc
TBCG.L,TBC Bank Group Plc
TEP.L,Telecom Plus plc
TMPL.L,Temple Bar Investment Trust plc
TEM.L,Templeton Emerging Markets Inv Tst plc
TSCO.L,Tesco plc
TRIG.L,The Renewables Infrastructure Group Limited
TIFS.L,TI Fluid Systems plc
TCAP.L,TP ICAP plc
TRY.L,TR Property Investment Trust plc
TRN.L,Trainline plc
TPK.L,Travis Perkins plc
BBOX.L,Tritax Big Box REIT plc
TUI.L,TUI AG
TLW.L,Tullow Oil plc
UDG.L,UDG Healthcare plc
UKCM.L,UK Commercial Property Reit Limited
ULE.L,Ultra Electronics Holdings
ULVR.L,Unilever plc
UTG.L,Unite Group
UU.L,United Utilities Group Plc
VSVS.L,Vesuvius plc
VCT.L,Victrex
VEIL.L,Vietnam Enterprise Investments Ltd
VOF.L,VinaCapital Vietnam Opportunity Fund Ltd
VMUK.L,Virgin Money UK plc
VTY.L,Vistry Group Plc
VVO.L,Vivo Energy Plc
VOD.L,Vodafone Group plc
WOSG.L,Watches Of Switzerland Group plc
WEIR.L,Weir Group plc
SMWH.L,WH Smith Plc
WTB.L,Whitbread plc
WMH.L,William Hill plc
WTAN.L,Witan Investment Trust plc
WIZZ.L,Wizz Air Holdings plc
WG.L,Wood Group (John) Plc
WKP.L,Workspace Group Plc
WWH.L,Worldwide Healthcare Trust plc
WPP.L,WPP plc
